parity_id,domain,legacy_area,legacy_endpoint_or_screen,role,priority,legacy_behavior_summary,input_contract,output_contract,side_effects,auth_required,data_entities,status,owner,notes
PM-0001,auth,web-login-and-reset,/login/index|/login/admin_login|/login/forgot_password|/login/reset_password,all,P0,Email or phone login with role redirect and signed reset token flow,POST email or password or phone or country_code or role_id and reset token params,HTML views and redirects with flash messages and session keys,Creates session and sends reset email and updates hashed password,session_created_on_success,users+role+frontend_settings,migrated_phase04,migration,Controllers Login and Views Frontend/Login
PM-0002,auth,web-session-routing,/ and /home/index and /login/logout,all,P0,Root routes bounce user to role specific portal and logout clears session,GET request and optional logout flag,Redirect or JSON logout payload plus redirect,Destroys session and logs events,session_optional_for_logout,users+role,migrated_phase11,migration,Controllers Home and Login
PM-0003,auth,api-auth-guard,/api/* via Api::is_valid_request,mobile_api_consumer,P0,API guard enforces allowed method and auth_token except allowlist endpoints,GET or POST auth_token except public paths,JSON status message data envelope with 401 or 405 on failure,Logs request URL and request payload for each call,jwt_auth_token_required_except_public,users+jwt_claims,migrated_phase04,migration,Public paths api/login/index register verify_otp and api/category/index
PM-0004,api-auth,login-registration-otp,/api/login/index|verify_otp|register|source_list|update_source|resend_otp,mobile_student,P0,Phone login registration OTP verification source tracking and OTP resend,GET phone code password device_id user_id otp source_id auth_token,JSON status message data and auth token payload from model methods,Updates verification_code and source_id and may send SMS OTP,jwt_optional_on_login_required_for_source_update,users+source+otp,migrated_phase04,migration,Controller Api/Login
PM-0005,api-auth,api-forgot-password,/api/login/forgot_password,mobile_student_and_admin,P0,POST email triggers role aware password reset email with signed token links,POST email,JSON success or error message,Reads user by email or user_email and sends reset email,public_post_endpoint,users+password_reset_token,migrated_phase04,migration,Controller Api/Login forgot_password
PM-0006,public,file-serving,/file and /file/,all,P0,Serves uploaded files through guarded helper path resolver,GET file path query style via helper wrappers,Binary file or deny response,Reads storage and applies file security checks,public_with_internal_guard,file_store+lesson_files,decommissioned_phase15,migration,Controller FileController and helper guards from Phase00 Retired in Phase15 decommission plan.
PM-0007,public,google-oauth-login,/userauthentication/googleLogin|googleCallback,all,P1,Google OAuth callback exchanges code then starts web session path,OAuth redirect query code,Redirect to app or login failure,Creates or updates session identity,public_oauth_handshake,users+oauth_profile,decommissioned_phase15,migration,Controllers UserAuthentication and App/Home login_success pattern Retired in Phase15 decommission plan.
PM-0008,public,exam-practice-web,/exam/practice_web_view* and /exam/exam_web_view*,student,P1,Legacy browser exam and practice attempt lifecycle for shared links,Path params user_id and course_id and POST answers payloads,HTML result pages and stored attempt states,Saves practice and exam attempts and answers,public_or_link_based_access,exam+exam_attempt+practice_attempt+question_bank,decommissioned_phase15,migration,Controller Exam Retired in Phase15 decommission plan.
PM-0009,public,quiz-web,/quiz/index|start_quiz|save_quiz_result|show_quiz_result,student,P1,Legacy quiz web flow starts attempt saves answers and renders score,GET quiz id and POST question answers,HTML quiz pages and result views,Saves quiz attempts and answer rows,public_or_link_based_access,quiz+exam_answer+question_bank,decommissioned_phase15,migration,Controller Quiz Retired in Phase15 decommission plan.
PM-0010,public,live-web-and-zoom,/live/* and /zoom/*,student_and_admin,P0,Legacy web meeting pages plus server generated Zoom signature endpoint,GET meeting identifiers and role,HTML start or meeting views and JSON signature payload,Generates short lived meeting signature tokens,session_expected_for_admin_paths,live_class+zoom_history,decommissioned_phase15,migration,Controllers Live and Zoom Retired in Phase15 decommission plan.
PM-0011,public,scheduled-reminder-crons,/home/live_class_reminder_cron and related cron methods,system,P1,Background reminder jobs send emails for live class assignment payment and inactivity,Cron GET invocation and current date time context,Text or log based completion output,Sends email and writes reminder logs and notification rows,system_internal_no_user_auth,live_class_reminders+assignment_reminders+payment_reminders+notification,decommissioned_phase15,migration,Controller Home has multiple cron endpoints Retired in Phase15 decommission plan.
PM-0012,integration,s3-upload-tools,/s3upload/index|list_files|generateDownloadLink|downloadBatch|uploadBatch,admin_ops,P2,Operational utility for batch file upload and download tasks,GET and POST file batches and keys,JSON lists or download archive links,Uploads files and may compress images,session_or_network_level_restriction_expected,file_store+s3,decommissioned_phase15,migration,Controller S3Upload used as utility not core student flow Retired in Phase15 decommission plan.
PM-0013,shared,slack-leave-form,/shared/slack/leave_application_form|submit_leave_application,staff,P2,Internal leave application form posts request and notifies workflow,POST leave form fields dates reasons and attachments,HTML form and submission confirmation,Creates leave_request rows and sends workflow notification,session_expected_for_internal_use,leave_request+leave_type+users,decommissioned_phase15,migration,Controller Shared/Slack Retired in Phase15 decommission plan.
